First Name,Last Name,Email,Courses,Grades,Marks
Tracy,Rogers,bgarcia@example.org,"Math, English, History","B, F, B","92, 88, 83"
Robert,Gutierrez,davidklein@example.net,"History, Math, English","A, D, B","92, 71, 66"
Nicholas,Gregory,ygood@example.org,"History, Math, English","B, F, B","54, 85, 91"
Sean,Price,jacob96@example.com,"History, Math, English","C, B, B","83, 97, 80"
Robert,Lester,hooverchelsea@example.com,"Math, History, English","F, B, D","55, 80, 58"
Carlos,Obrien,okline@example.net,"English, Math, History","F, C, D","79, 86, 98"
Rebecca,Smith,jlewis@example.org,"English, History, Math","C, B, A","84, 58, 85"
Ronald,Rowland,dianastokes@example.org,"Math, English, History","B, B, C","63, 65, 86"
Michael,May,larry33@example.net,"History, English, Math","D, F, D","81, 51, 74"
Noah,Evans,donaldjenkins@example.org,"English, Math, History","B, C, C","68, 70, 76"
Deborah,Obrien,smithlarry@example.org,"Math, History, English","D, C, F","74, 79, 52"
Rebecca,Adams,stevenslindsey@example.org,"English, Math, History","B, A, F","57, 85, 77"
Mark,Jacobs,jcarr@example.net,"English, History, Math","A, A, C","90, 97, 81"
George,Welch,krystal86@example.org,"Math, History, English","C, D, F","78, 72, 83"
Pamela,Cline,stantonwyatt@example.org,"History, English, Math","F, C, A","92, 71, 93"
William,Spencer,bianca34@example.org,"Math, English, History","F, F, D","64, 50, 58"
Rachel,Parsons,alice73@example.org,"Math, History, English","D, F, C","68, 56, 79"
Jonathon,Cooper,jdunn@example.com,"Math, English, History","D, D, B","78, 72, 68"
Cindy,Cook,smithbailey@example.net,"History, Math, English","D, B, A","88, 77, 69"
John,Brown,brenda36@example.net,"English, Math, History","D, B, F","81, 71, 90"
Joseph,Lopez,gregory43@example.net,"English, Math, History","D, C, D","68, 66, 81"
Tony,Miller,jason56@example.org,"History, Math, English","B, B, C","50, 69, 56"
Kimberly,Ramirez,blopez@example.org,"English, History, Math","B, A, A","99, 85, 51"
Samantha,Wilkinson,stewartjennifer@example.org,"History, Math, English","B, B, C","57, 69, 92"
Lisa,Hines,michaelgriffin@example.net,"Math, English, History","D, B, B","85, 69, 53"
Michael,Burns,darryl87@example.net,"Math, English, History","C, D, B","55, 99, 88"
Michael,Bell,chelseywashington@example.net,"Math, English, History","B, F, B","97, 85, 92"
Jennifer,West,thomasdebbie@example.com,"English, History, Math","B, F, A","53, 61, 67"
Anthony,Bishop,wramos@example.org,"English, Math, History","C, B, C","74, 52, 85"
Robert,Harrison,miranda81@example.net,"Math, English, History","A, A, D","91, 88, 55"
Christopher,White,hjones@example.net,"Math, History, English","A, A, C","87, 83, 77"
Susan,Mullins,abarber@example.org,"Math, History, English","B, D, D","56, 60, 75"
Cody,Greene,moorethomas@example.org,"English, History, Math","D, D, B","82, 50, 88"
Katelyn,Ramirez,andrewrichardson@example.com,"English, History, Math","A, F, F","66, 88, 97"
Isabella,Hartman,ericperkins@example.org,"History, English, Math","F, F, F","97, 56, 93"
Joseph,Tucker,karen24@example.org,"Math, History, English","D, C, B","74, 57, 75"
Christopher,Davis,carterangie@example.net,"English, History, Math","C, B, D","73, 63, 51"
Caroline,Washington,rosalesjeremy@example.com,"English, History, Math","A, C, A","81, 77, 80"
Derrick,Gonzalez,jonesangela@example.org,"English, History, Math","D, A, A","92, 89, 71"
Laurie,Moore,james66@example.com,"History, English, Math","C, A, D","88, 87, 95"
Melinda,Cunningham,triciarichardson@example.org,"History, English, Math","A, A, C","85, 95, 62"
Jason,Swanson,tstephenson@example.net,"Math, English, History","D, F, A","93, 72, 55"
Patrick,Smith,moonjason@example.net,"English, History, Math","A, F, F","74, 89, 75"
Douglas,Gonzalez,kristen24@example.com,"Math, History, English","A, F, B","67, 54, 94"
Jessica,Myers,stephenkirby@example.org,"English, History, Math","A, C, A","64, 67, 93"
Ashley,Silva,lesliecobb@example.com,"Math, English, History","D, A, A","87, 85, 71"
Christine,Macdonald,jessica88@example.org,"English, Math, History","F, A, B","74, 61, 64"
Jennifer,Preston,sarahanderson@example.net,"History, Math, English","D, B, C","93, 93, 67"
Gina,Anderson,uaustin@example.org,"History, Math, English","C, F, B","94, 88, 79"
Robert,Graham,jordan33@example.com,"English, History, Math","F, B, B","63, 90, 96"
Ashley,Roth,isaac87@example.net,"Math, History, English","B, F, F","59, 95, 65"
Cody,Holt,nwhite@example.net,"Math, History, English","A, B, C","87, 74, 84"
Brian,Miranda,scottmeadows@example.net,"English, Math, History","D, B, C","63, 64, 85"
Katie,Michael,shawnbolton@example.org,"English, Math, History","A, D, C","52, 53, 53"
Jennifer,Johnson,dconley@example.org,"History, English, Math","C, C, D","62, 91, 73"
Ricky,Hernandez,laurieford@example.org,"Math, English, History","C, B, A","93, 64, 83"
John,Crawford,michaelle@example.net,"English, Math, History","B, C, B","99, 72, 66"
Jessica,Diaz,dominique84@example.com,"English, Math, History","B, D, B","57, 52, 90"
Christopher,Williams,michael60@example.net,"History, English, Math","C, A, C","83, 97, 73"
Christopher,Martin,uhernandez@example.net,"History, English, Math","D, C, A","65, 61, 83"
Jose,Nelson,susan73@example.org,"Math, English, History","D, F, F","86, 94, 74"
Abigail,Spears,davidturner@example.org,"History, Math, English","B, C, B","69, 50, 70"
Ryan,Johnson,eric18@example.org,"Math, History, English","C, F, F","75, 66, 75"
Carrie,Beck,faulknertammy@example.com,"English, Math, History","D, A, B","56, 100, 76"
Emily,Tran,elizabethcole@example.org,"Math, English, History","F, F, A","88, 52, 57"
Misty,Medina,andrewsmichael@example.org,"Math, History, English","F, F, B","89, 89, 93"
Justin,Lawrence,juliehunt@example.org,"English, Math, History","A, C, A","85, 97, 61"
Michael,Morse,kathrynelliott@example.org,"Math, History, English","F, F, F","51, 84, 98"
Lisa,Hernandez,uaguilar@example.org,"History, Math, English","D, D, C","60, 100, 62"
Lauren,Ramos,thomasedwards@example.org,"English, Math, History","C, D, D","54, 88, 67"
Whitney,Smith,michaeljohnson@example.com,"History, Math, English","B, F, A","56, 63, 75"
Rachel,Rodriguez,dsavage@example.com,"Math, English, History","A, B, C","51, 88, 96"
Jessica,Jones,wendywilson@example.org,"History, English, Math","B, D, D","95, 79, 99"
Adam,Mcmillan,kirkboyd@example.net,"History, English, Math","C, F, F","81, 61, 52"
Bradley,Simmons,bbowers@example.com,"History, English, Math","D, A, D","96, 80, 68"
Michelle,Campbell,flowersisabella@example.net,"English, History, Math","A, F, F","67, 64, 76"
Roger,Williams,fponce@example.com,"English, History, Math","B, D, F","84, 61, 86"
Rebecca,Rodriguez,osawyer@example.org,"History, Math, English","F, D, D","65, 51, 100"
Taylor,Lee,acampbell@example.net,"English, Math, History","D, B, A","73, 94, 64"
April,Sweeney,coxlori@example.net,"Math, English, History","F, D, C","70, 58, 68"
Scott,Chapman,dlittle@example.com,"History, English, Math","D, B, F","54, 84, 80"
Angela,Walsh,smithlinda@example.org,"English, History, Math","C, C, C","57, 68, 86"
William,Day,kristina26@example.net,"English, Math, History","D, B, D","87, 60, 66"
Michael,Spencer,tannerjenkins@example.net,"Math, History, English","A, A, A","64, 57, 100"
Joseph,Olson,reidgeorge@example.net,"Math, English, History","B, B, B","78, 100, 64"
Samuel,Ewing,kevinedwards@example.net,"Math, History, English","F, D, A","65, 53, 83"
Katie,Olsen,angela76@example.net,"History, English, Math","C, B, D","87, 65, 86"
Robert,Hobbs,lisa70@example.org,"English, Math, History","C, B, A","93, 62, 91"
Nicole,Blake,uvance@example.net,"English, History, Math","B, D, B","94, 57, 51"
Mark,Campbell,nathan35@example.org,"History, Math, English","C, A, B","59, 92, 76"
Ellen,Goodwin,ericksonelizabeth@example.net,"English, Math, History","B, A, B","77, 66, 80"
Brian,Ramos,hardyrobert@example.com,"English, Math, History","B, A, F","65, 55, 52"
Charles,Gutierrez,aaronlin@example.com,"History, Math, English","B, C, F","77, 71, 74"
Timothy,Goodwin,umitchell@example.org,"History, English, Math","A, D, B","61, 50, 58"
Robert,Bruce,zcaldwell@example.org,"Math, English, History","D, D, F","89, 88, 85"
Travis,Smith,michellemoran@example.com,"English, Math, History","D, C, D","82, 75, 95"
Patricia,Copeland,prodriguez@example.org,"English, History, Math","A, D, A","86, 67, 71"
Karen,Carter,smithmichael@example.org,"English, History, Math","C, F, D","61, 55, 59"
Kevin,Winters,schwartzjames@example.org,"English, History, Math","F, C, B","64, 57, 67"
Melinda,Mcintyre,pburton@example.net,"Math, English, History","A, B, B","99, 93, 67"
Diane,Oconnor,schneiderbrandon@example.org,"History, Math, English","D, A, A","64, 55, 100"
Linda,Gonzales,aburnett@example.org,"History, Math, English","F, D, D","71, 95, 73"
Tyler,Hahn,maynardrhonda@example.org,"English, Math, History","F, B, D","95, 67, 77"
Joe,Flowers,jessica04@example.org,"Math, English, History","B, C, C","59, 70, 91"
James,Norton,harry85@example.com,"Math, English, History","C, C, F","68, 97, 91"
Danielle,Gates,edwardslatoya@example.com,"History, English, Math","D, B, D","53, 82, 99"
Amanda,Walker,seanhernandez@example.org,"English, History, Math","A, C, F","97, 63, 87"
Alisha,Gilbert,teresalewis@example.net,"Math, History, English","C, B, A","95, 99, 51"
Kurt,King,handerson@example.net,"English, Math, History","D, F, B","50, 78, 87"
Sharon,Rowland,bryce69@example.com,"English, Math, History","C, A, A","98, 62, 82"
Erik,Harris,jennifer05@example.org,"English, Math, History","D, B, D","79, 93, 65"
Dawn,Stein,irandall@example.net,"Math, English, History","C, A, A","56, 72, 52"
Cindy,Miller,rayers@example.com,"Math, English, History","B, B, D","88, 81, 71"
Julie,Thomas,trevor43@example.com,"English, Math, History","A, F, C","88, 72, 54"
Jennifer,Williams,lindseylopez@example.net,"History, Math, English","B, D, B","57, 71, 70"
Anthony,Perry,grimesfrances@example.com,"Math, History, English","A, F, D","99, 65, 70"
Erin,Hill,bushashley@example.org,"Math, English, History","B, C, A","76, 61, 99"
John,Woods,jeremy82@example.com,"History, English, Math","C, F, C","72, 95, 85"
Pamela,Boyd,angelarasmussen@example.org,"History, English, Math","D, A, A","73, 75, 61"
Norman,Perez,combstraci@example.com,"English, History, Math","A, B, D","89, 86, 96"
Kevin,Boyd,hunterleslie@example.com,"History, English, Math","A, A, C","72, 90, 100"
Kevin,Obrien,hebertryan@example.org,"English, History, Math","A, D, A","82, 97, 96"
Matthew,Jackson,destinyaguilar@example.com,"Math, History, English","A, C, A","58, 92, 69"
Monica,Taylor,rhondastone@example.com,"History, English, Math","D, B, D","70, 57, 59"
Alexander,Olson,dana29@example.org,"English, History, Math","A, F, C","100, 77, 57"
Robert,Briggs,lisacarpenter@example.com,"Math, English, History","B, D, B","64, 72, 92"
Robin,Cruz,glenn47@example.net,"History, English, Math","A, D, D","51, 99, 67"
Patricia,Hampton,michelle08@example.net,"Math, History, English","D, C, C","72, 55, 65"
Jaime,Romero,qwaters@example.com,"History, English, Math","B, A, A","95, 89, 98"
Charles,Morrow,ofernandez@example.com,"Math, English, History","B, A, D","93, 55, 90"
Thomas,Chen,fwalton@example.org,"History, English, Math","F, B, A","55, 91, 67"
Lisa,Johnson,lauralevy@example.net,"History, English, Math","B, F, D","65, 90, 90"
Robert,Hess,rodriguezjean@example.com,"Math, History, English","B, F, F","80, 51, 77"
Robert,Garcia,andrew76@example.net,"Math, English, History","B, F, A","66, 51, 83"
Courtney,Thomas,robertsonmark@example.net,"Math, English, History","B, B, A","67, 89, 95"
Traci,Moore,irichardson@example.org,"Math, English, History","A, A, A","87, 82, 97"
Amanda,Mcclure,castillomarcus@example.net,"Math, History, English","D, F, A","74, 57, 51"
Joseph,Lopez,roberta75@example.net,"Math, History, English","C, D, B","98, 61, 77"
Richard,Winters,susan60@example.org,"History, English, Math","A, C, A","77, 95, 59"
Anna,Kelly,villegasisaac@example.net,"English, Math, History","B, B, F","52, 56, 86"
Jacqueline,Ramirez,janice94@example.com,"Math, English, History","D, B, F","86, 77, 96"
Gregory,Molina,sarasmith@example.net,"History, English, Math","D, D, D","52, 82, 92"
John,Dominguez,hjones@example.net,"Math, English, History","D, C, A","54, 94, 83"
Jennifer,Erickson,melissaalvarado@example.net,"English, Math, History","C, A, C","62, 94, 61"
Kimberly,Carter,ruizsusan@example.org,"Math, English, History","D, D, F","73, 72, 53"
Alexander,Cameron,jason69@example.net,"English, Math, History","C, C, B","59, 62, 76"
Charles,Edwards,rodriguezmelissa@example.org,"English, Math, History","A, F, C","68, 51, 78"
Edward,Ford,danielfox@example.org,"History, English, Math","F, D, B","76, 64, 77"
Mark,Cruz,jclark@example.com,"Math, History, English","A, C, F","85, 54, 97"
Donna,Hays,richardpadilla@example.net,"Math, English, History","D, C, A","81, 72, 51"
Antonio,Hernandez,aaroncardenas@example.net,"History, Math, English","C, F, B","87, 86, 85"
Lindsay,Lopez,wisemichael@example.com,"History, English, Math","D, C, F","85, 74, 68"
Dawn,Walker,kimberlymcgee@example.org,"History, Math, English","D, B, C","64, 84, 59"
Anna,Vaughn,johnstonrobert@example.net,"English, Math, History","A, C, C","96, 78, 53"
Andrew,Valdez,martinezmorgan@example.org,"English, Math, History","B, C, F","67, 89, 97"
Brittany,Marquez,rodrigueztara@example.com,"History, Math, English","C, B, A","96, 90, 100"
Claudia,Barnes,wongkayla@example.net,"History, Math, English","F, B, F","88, 61, 68"
Gerald,Barrett,jasongilbert@example.org,"English, Math, History","C, D, C","69, 83, 62"
Joann,Cook,dfrederick@example.com,"English, History, Math","D, D, A","76, 92, 81"
Sharon,Mccoy,lindarosales@example.com,"English, History, Math","B, B, B","81, 77, 53"
Melanie,Rojas,mark95@example.org,"English, Math, History","F, A, A","91, 100, 76"
Kent,Carson,matthewrobertson@example.net,"Math, History, English","A, B, A","54, 63, 63"
Marie,Mooney,james10@example.org,"Math, History, English","C, B, C","81, 62, 79"
Sherry,Coleman,katherinezuniga@example.com,"English, History, Math","D, C, C","100, 68, 64"
Kyle,Thomas,andre57@example.org,"English, History, Math","F, F, F","98, 53, 75"
Janice,Hamilton,nelsonamy@example.net,"History, English, Math","B, A, C","64, 59, 95"
Hailey,Barnes,rnelson@example.org,"Math, History, English","B, C, C","81, 94, 89"
Allison,Saunders,taragill@example.net,"Math, History, English","A, B, C","59, 60, 76"
Michael,Mills,staceyshaffer@example.com,"History, English, Math","A, B, C","63, 71, 72"
Devon,Beard,benjaminruiz@example.org,"History, English, Math","F, A, A","93, 50, 55"
Matthew,Boone,oscarwarner@example.com,"History, Math, English","C, C, F","92, 67, 94"
Ronald,Smith,robinsonanita@example.org,"History, English, Math","D, F, C","54, 80, 100"
Cynthia,May,sdavenport@example.org,"Math, English, History","C, B, A","78, 90, 96"
Tony,Lopez,bradfordvalerie@example.org,"History, English, Math","A, B, D","52, 100, 66"
Benjamin,Mckee,knelson@example.com,"Math, English, History","B, D, A","88, 79, 51"
Ryan,Sutton,qbeck@example.org,"English, History, Math","C, A, F","63, 88, 99"
Kenneth,Williams,hcantrell@example.com,"History, Math, English","B, A, C","54, 64, 57"
Megan,Guerrero,bushtara@example.com,"Math, English, History","F, A, A","68, 67, 100"
Hunter,Williams,cathy91@example.net,"English, History, Math","F, A, A","60, 91, 96"
Justin,Glass,atkinsonjonathan@example.org,"English, History, Math","C, B, A","59, 80, 84"
Lee,Gomez,carolyn74@example.net,"English, Math, History","D, D, C","54, 90, 82"
Mark,Hammond,stanleyhailey@example.org,"Math, English, History","D, B, D","54, 75, 71"
Anna,Greene,david36@example.com,"English, History, Math","B, C, D","63, 63, 85"
William,Johnson,phillipsvernon@example.net,"Math, English, History","D, B, D","84, 83, 79"
Diana,Ramirez,fking@example.com,"Math, History, English","D, C, F","88, 89, 93"
Daryl,Black,haasrobin@example.net,"History, Math, English","A, D, B","59, 56, 74"
Jennifer,Harris,bchavez@example.net,"Math, English, History","F, D, A","79, 66, 84"
Rebecca,Ortiz,kyle89@example.net,"Math, English, History","B, D, C","90, 85, 91"
Jessica,Weber,andrea96@example.org,"English, Math, History","F, A, B","76, 66, 83"
Richard,Ware,fernandezdavid@example.net,"English, History, Math","C, D, C","79, 79, 54"
Ryan,Sandoval,nicholasarnold@example.org,"English, History, Math","A, D, C","60, 83, 54"
Thomas,Miller,charles35@example.net,"Math, History, English","C, F, C","83, 97, 77"
Sylvia,Smith,linaustin@example.net,"English, History, Math","C, C, C","71, 95, 62"
Jonathan,Wells,gilbertrobert@example.com,"English, Math, History","A, C, A","76, 67, 82"
Christine,Walter,qyates@example.net,"History, Math, English","A, D, B","55, 79, 82"
Kathryn,Jensen,sharpamy@example.net,"History, Math, English","B, C, D","67, 91, 78"
Cynthia,Hobbs,marilynduke@example.com,"English, History, Math","F, C, D","72, 68, 56"
